Units,Learning Rate,Activation,Optimizer,Dropout Rate,Train Loss,Validation Loss
50,0.001,tanh,Adam,0.2,0.0181250162422657,0.0074882241897284985
50,0.001,tanh,Adam,0.5,0.026332255452871323,0.008828572928905487
50,0.001,tanh,SGD,0.2,0.1563703715801239,0.1031060516834259
50,0.001,tanh,SGD,0.5,0.14964957535266876,0.0933462381362915
50,0.001,relu,Adam,0.2,0.01636781357228756,0.00699744513258338
50,0.001,relu,Adam,0.5,0.029945004731416702,0.006691168062388897
50,0.001,relu,SGD,0.2,0.25757908821105957,0.17763571441173553
50,0.001,relu,SGD,0.5,0.15243689715862274,0.10208152234554291
50,0.01,tanh,Adam,0.2,0.014644157141447067,0.008007737807929516
50,0.01,tanh,Adam,0.5,0.01820201240479946,0.007526594679802656
50,0.01,tanh,SGD,0.2,0.028360649943351746,0.016507381573319435
50,0.01,tanh,SGD,0.5,0.03707706928253174,0.00913736131042242
50,0.01,relu,Adam,0.2,0.014476766809821129,0.009460685774683952
50,0.01,relu,Adam,0.5,0.02162754349410534,0.006670072674751282
50,0.01,relu,SGD,0.2,0.033467117697000504,0.014157623052597046
50,0.01,relu,SGD,0.5,0.04303460568189621,0.01978309638798237
100,0.001,tanh,Adam,0.2,0.0165347121655941,0.0074259755201637745
100,0.001,tanh,Adam,0.5,0.01800016313791275,0.007591370493173599
100,0.001,tanh,SGD,0.2,0.12515467405319214,0.08311765640974045
100,0.001,tanh,SGD,0.5,0.12838679552078247,0.07903771102428436
100,0.001,relu,Adam,0.2,0.0144044179469347,0.006706641521304846
100,0.001,relu,Adam,0.5,0.027838874608278275,0.008991890586912632
100,0.001,relu,SGD,0.2,0.19675935804843903,0.13889095187187195
100,0.001,relu,SGD,0.5,0.14753611385822296,0.10384988784790039
100,0.01,tanh,Adam,0.2,0.010864807292819023,0.007419637870043516
100,0.01,tanh,Adam,0.5,0.015559540130198002,0.007819307036697865
100,0.01,tanh,SGD,0.2,0.030509866774082184,0.0173207838088274
100,0.01,tanh,SGD,0.5,0.032171208411455154,0.01361808180809021
100,0.01,relu,Adam,0.2,0.051030807197093964,0.01767212711274624
100,0.01,relu,Adam,0.5,0.059963811188936234,0.026967685669660568
100,0.01,relu,SGD,0.2,0.02536788396537304,0.012887495569884777
100,0.01,relu,SGD,0.5,0.03469797223806381,0.013068017549812794
